file,block,muts,py,diff,rat,mcc,lines,variance,min,max,range,avgmutsperblock,bcharm,colons,indent,ifthenelse,assign,brackets,parens,dots,longstrings,tests,words,numbers,strings,braces,du,arith,comment,empty,idelta,commas,linelen,fdelta,lcc
_home_joshua_ucPython_lib_python2_7_ntpath_py,normcase,628,581,-47,-0.47,1,5,0.322155555555555,-1.16,0.12,1.28,2700,-0.0174074074074074,1,0.4,0,0,0,6,1,1,0,4,0,4,0,0,1,0,0,1,1,89,-1,0
_home_joshua_ucPython_lib_python2_7_ntpath_py,normpath,5150,5094,-56,-0.56,15,50,0.0169886134067952,-0.4,0.41,0.81,2700,-0.0207407407407407,17,1.38,13,12,16,32,8,2,7,37,11,32,0,0,7,0,0,0,10,1021,0,0
_home_joshua_ucPython_lib_python2_7_ntpath_py,relpath,3899,3697,-202,-2.02,8,30,0.05227616,-0.61,0.43,1.04,2700,-0.0748148148148148,10,2.43333333333333,8,6,4,38,4,2,2,44,6,5,0,0,14,0,0,0,12,1083,-4,0
_home_joshua_ucPython_lib_python2_7_ntpath_py,split,2042,2018,-24,-0.24,6,18,0.0760388888888889,-0.94,0.25,1.19,2700,-0.00888888888888889,6,0.722222222222222,0,7,10,6,0,1,0,10,10,5,0,0,7,1,0,0,4,314,-1,0
_home_joshua_ucPython_lib_python2_7_ntpath_py,splitdrive,943,927,-16,-0.16,2,6,0.20752,-1,0.28,1.28,2700,-0.00592592592592593,6,0.833333333333333,2,0,6,2,0,1,1,7,6,5,0,0,1,0,0,0,2,156,-1,0
_home_joshua_ucPython_lib_python2_7_ntpath_py,splitext,315,215,-100,-1,1,2,0.0961,-0.81,-0.19,0.62,2700,-0.037037037037037,1,0.5,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,3,72,0,0
_home_joshua_ucPython_lib_python2_7_ntpath_py,splitunc,2826,2784,-42,-0.42,7,29,0.0680346020761246,-1.04,0.18,1.22,2700,-0.0155555555555556,11,1.03448275862069,6,5,8,10,3,1,6,31,15,23,0,0,7,1,0,0,8,539,-1,0
_home_joshua_ucPython_lib_python2_7_ntpath_py,walk,2198,2117,-81,-0.81,4,25,0.0630307692307693,-0.91,0.11,1.02,2700,-0.03,5,0.88,1,3,0,14,7,1,0,17,3,2,0,0,0,0,0,2,9,393,-1,0
_home_joshua_ucPython_lib_python2_7_types_py,_C,298,282,-16,-0.158117647058824,1,2,0.0352555847750865,-0.266823529411765,0.108705882352941,0.375529411764706,1700,-0.00941176470588235,2,0.5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,31,0,0
_home_joshua_ucPython_lib_python2_7_types_py,_f,155,137,-18,-0.177882352941176,1,1,0,-0.177882352941176,-0.177882352941176,0,1700,-0.0105882352941176,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0
_home_joshua_ucPython_lib_python2_7_types_py,_g,294,261,-33,-0.326117647058824,1,2,0.00295424221453287,-0.217411764705882,-0.108705882352941,0.108705882352941,1700,-0.0194117647058824,1,0.5,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,20,0,0
_home_joshua_ucPython_lib_python2_7_types_py,_m,151,162,11,0.108705882352941,1,1,0,0.108705882352941,0.108705882352941,0,1700,0.00647058823529412,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,22,-1,0
_home_joshua_ucPython_lib_python2_7_site_py,_Helper,1251,30829,29578,295.78,1,12,9877.73444375,-1.39,299.86,301.25,2448.38709677419,12.0806060606061,3,1,0,0,0,12,1,1,0,12,0,6,0,4,5,0,0,0,4,285,0,1
_home_joshua_ucPython_lib_python2_7_site_py,_Printer,8063,8012,-51,-0.51,5,63,0.0132337950138504,-0.75,0.16,0.91,2448.38709677419,-0.0208300395256917,25,2.80952380952381,8,22,2,52,26,1,2,70,4,16,0,25,5,0,0,4,11,1832,-4,0
_home_joshua_ucPython_lib_python2_7_site_py,__call__,3475,3062,-413,-4.13,1,3,0.18067296,-1.39,0.08,1.47,2448.38709677419,-0.168682476943347,13,30,3,7,2,20,5,0,1,34,2,8,0,6,5,0,0,1,6,816,-2,0
_home_joshua_ucPython_lib_python2_7_site_py,__init__,834,830,-4,-0.04,1,6,0.00815555555555555,-0.15,0.11,0.26,2448.38709677419,-0.00163372859025033,1,1.83333333333333,0,7,0,6,5,0,0,3,0,0,0,7,0,0,0,1,4,187,-1,0
_home_joshua_ucPython_lib_python2_7_site_py,__repr__,1252,1264,12,0.12,1,2,0.01955,-0.13,0.35,0.48,2448.38709677419,0.00490118577075099,4,8,2,0,0,18,5,0,1,12,1,6,0,8,4,0,0,2,2,297,1,1
_home_joshua_ucPython_lib_python2_7_site_py,__setup,2780,2752,-28,-0.28,7,20,0.002834,-0.12,0.14,0.26,2448.38709677419,-0.0114361001317523,8,3.3,3,7,0,14,12,0,0,21,0,3,0,8,0,0,0,0,2,592,-1,0
_home_joshua_ucPython_lib_python2_7_site_py,_init_pathinfo,1540,1526,-14,-0.14,4,11,0.0168198347107438,-0.35,0.2,0.55,2448.38709677419,-0.00571805006587615,5,2,1,2,0,10,5,2,0,18,0,1,0,0,0,0,0,0,1,313,0,0
_home_joshua_ucPython_lib_python2_7_site_py,_script,5144,0,-5144,-51.44,9,51,0.05215987654321,-2.78,-1.39,1.39,2448.38709677419,-2.10097496706192,18,1.43137254901961,11,4,8,58,18,1,0,38,8,17,0,0,13,0,0,2,5,1053,-2,1
_home_joshua_ucPython_lib_python2_7_site_py,abs__file__,1400,1308,-92,-0.92,6,12,0.049876,-0.61,0.21,0.82,2448.38709677419,-0.0375757575757576,4,1.58333333333333,2,2,0,16,5,2,0,14,0,6,0,10,0,0,0,1,4,355,0,0
_home_joshua_ucPython_lib_python2_7_site_py,addbuilddir,1261,1237,-24,-0.24,2,9,0.11751875,-0.92,0.29,1.21,2448.38709677419,-0.00980237154150198,2,0.888888888888889,1,3,2,14,9,1,2,12,2,8,0,0,7,0,0,0,3,334,0,0
_home_joshua_ucPython_lib_python2_7_site_py,addpackage,4200,4142,-58,-0.58,9,30,0.0304097502972651,-0.85,0.19,1.04,2448.38709677419,-0.0236890645586298,12,2.03333333333333,6,7,0,26,11,1,0,42,2,7,0,0,0,0,0,0,6,826,0,0
_home_joshua_ucPython_lib_python2_7_site_py,addsitedir,3078,3024,-54,-0.54,7,22,0.0428,-0.89,0.22,1.11,2448.38709677419,-0.0220553359683794,9,1.36363636363636,6,7,0,16,8,1,0,27,2,5,0,0,1,1,0,0,4,639,0,0
_home_joshua_ucPython_lib_python2_7_site_py,addsitepackages,9062,7872,-1190,-11.9,22,75,0.0922407100591716,-0.86,0.31,1.17,2448.38709677419,-0.486034255599473,31,4.76,18,11,38,76,75,2,6,83,22,94,0,0,31,1,0,0,52,3597,-17,0
_home_joshua_ucPython_lib_python2_7_site_py,addusersitepackages,4725,4231,-494,-4.94,10,50,0.124018732782369,-1,0.25,1.25,2448.38709677419,-0.201765480895916,14,2.02,9,9,8,32,24,1,1,31,4,23,0,0,13,0,0,0,16,1350,-4,0
_home_joshua_ucPython_lib_python2_7_site_py,aliasmbcs,1807,0,-1807,-18.07,4,14,0.147590972222222,-2.78,-1.39,1.39,2448.38709677419,-0.738036890645586,5,2.14285714285714,2,3,6,8,8,1,1,20,2,9,0,0,0,0,0,3,3,468,0,0
_home_joshua_ucPython_lib_python2_7_site_py,check_enableusersite,1668,1640,-28,-0.28,9,23,0.0536809917355372,-0.78,0.14,0.92,2448.38709677419,-0.0114361001317523,6,0.739130434782609,6,0,0,22,5,1,2,18,0,13,0,0,0,0,0,0,7,430,-3,0
_home_joshua_ucPython_lib_python2_7_site_py,execsitecustomize,831,0,-831,-8.31,2,6,2.5e-05,-1.39,-1.38,0.01,2448.38709677419,-0.339407114624506,3,1.16666666666667,2,0,0,2,0,2,0,10,0,1,0,0,0,0,0,0,1,149,0,0
_home_joshua_ucPython_lib_python2_7_site_py,execusercustomize,834,0,-834,-8.34,2,6,3.33333333333334e-05,-1.4,-1.38,0.02,2448.38709677419,-0.340632411067194,3,1.16666666666667,2,0,0,2,0,2,0,10,0,1,0,0,0,0,0,1,1,149,0,0
_home_joshua_ucPython_lib_python2_7_site_py,fixclasspath,1667,0,-1667,-16.67,4,13,0.157388429752066,-2.77,-1.39,1.38,2448.38709677419,-0.680856389986825,4,1.23076923076923,2,3,4,10,8,1,1,15,0,5,0,4,0,0,0,0,0,349,0,0
_home_joshua_ucPython_lib_python2_7_site_py,force_global_eggs_after_local_site_packages,1112,0,-1112,-11.12,4,14,0.236583673469388,-2.78,-1.39,1.39,2448.38709677419,-0.454176548089592,3,0.642857142857143,1,3,0,8,4,1,1,14,2,2,0,2,1,0,0,0,3,259,0,0
_home_joshua_ucPython_lib_python2_7_site_py,main,4307,0,-4307,-43.07,11,34,1.24869927159207e-05,-1.39,-1.37,0.0199999999999998,2448.38709677419,-1.75911725955204,9,1.14705882352941,8,7,2,48,14,0,3,39,2,10,0,4,4,0,0,0,2,1017,0,0
_home_joshua_ucPython_lib_python2_7_site_py,makepath,980,925,-55,-0.55,4,7,0.115155102040816,-0.55,0.58,1.13,2448.38709677419,-0.022463768115942,2,1.57142857142857,1,2,0,12,7,0,1,12,0,4,0,4,2,0,0,0,2,247,0,0
